Patient ID,Species,Common Name,Admission Date,Location Found,City Found,County Found
2019-4796,RACC,Raccoon,11/2/2019,44th Ave & Phinney,Seattle,King
2019-4798,GWGU,Glaucous-winged Gull,11/2/2019,1409 S Winthrop St,Seattle,King
2019-4800,NOFL,Northern Flicker,11/2/2019,36th St and Stoneway,Seattle,King
2019-4803,ROPI,Rock Pigeon,11/3/2019,3rd and Marion,Seattle,King
2019-4804,PAWR,Pacific Wren,11/3/2019,9221 Interlake Ave N,Seattle,King
2019-4806,EGSQ,Eastern Gray Squirrel,11/3/2019,123 NW 143rd ST,Seattle,King
2019-4808,DEJU,Dark-eyed Junco,11/3/2019,806 N 42nd ST,Seattle,King
2019-4810,BADO,Barred Owl,11/3/2019,7321 Dibble AVE NW,Seattle,King
2019-4815,ROPI,Rock Pigeon,11/4/2019,7718 28th AVE NW,Seattle,King
2019-4825,GWGU,Glaucous-winged Gull,11/6/2019,3800 1st Ave S,Seattle,King
2019-4832,HETH,Hermit Thrush,11/7/2019,12569 42nd Ave NE,Seattle,King
2019-4833,ANHU,Anna's Hummingbird,11/7/2019,1255 Harrison St,Seattle,King
2019-4835,PAWR,Pacific Wren,11/7/2019,4742 48th Ave NE,Seattle,King
2019-4837,ROPI,Rock Pigeon,11/7/2019,1st Ave W and W Republican,Seattle,King
2019-4838,HOFI,House Finch,11/7/2019,The Pinehurst Park,Seattle,King
2019-4840,ROPI,Rock Pigeon,11/8/2019,800 3rd Ave,Seattle,King
2019-4841,COYO,Coyote,11/8/2019,Green Lake,Seattle,King
2019-4846,NOFL,Northern Flicker,11/9/2019,2646 W Crockett ST,Seattle,King
2019-4848,SHBA,Silver-haired Bat,11/9/2019,11300 20th Ave NE,Seattle,King
2019-4849,EACO,Eastern Cottontail,11/9/2019,4th Ave N & Galer St,Seattle,King
2019-4853,AMCR,American Crow,11/9/2019,2108 Ne 65th,Seattle,King
2019-4854,GWGU,Glaucous-winged Gull,11/9/2019,5208 Sand Point PL NE,Seattle,King
2019-4855,RACC,Raccoon,11/9/2019,2800 34th AVE W,Seattle,King
2019-4856,COHA,Cooper's Hawk,11/10/2019,6539 57th AVE S,Seattle,King
2019-4857,ROPI,Rock Pigeon,11/10/2019,9200 9th AVE NW,Seattle,King
2019-4861,STJA,Steller's Jay,11/11/2019,2061 15th Ave W,Seattle,King
2019-4862,COHA,Cooper's Hawk,11/11/2019,4041 Roosevelt St.,Seattle,King
2019-4866,ROPI,Rock Pigeon,11/11/2019,16th Ave and Hill Rd,Seattle,King
2019-4870,EGSQ,Eastern Gray Squirrel,11/12/2019,5611 42nd ave sw,Seattle,King
2019-4873,ROPI,Rock Pigeon,11/13/2019,7345 Delridge Way SW,Seattle,King
2019-4879,ROPI,Rock Pigeon,11/14/2019,E Pike St and E Madison St,Seattle,King
2019-4880,ROPI,Rock Pigeon,11/14/2019,5932 18 Ave S,Seattle,King
2019-4881,AMCR,American Crow,11/14/2019,8551 Greenwood Ave N,Seattle,King
